,date,user_id,pp_text,tag,like_point
0,2018-08-26T12:58:41.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,16
2,2017-11-12T06:07:13.000Z,kimyulkim,Helloautumn Goodbye autumn and hello winterautumncoloursmapleturnredredBugakKRSeoulfalldaily,#autumnGoodbye #maple #turnredred #Bugak #KR #Seoul #fall #daily,31
4,2019-10-31T04:37:49.000Z,ryn_waitt,I tried three of them hanbugak snacks the seaweedthe pumpkinand the pepperThey are sooo goodfoodkoreanfoodVegetariankoreansnackbugakHanBuGakPumpkinHotPepperLaverhealthysnackvegan08liter08L,#food #koreanfood #Vegetarian #koreansnack #bugak #HanBuGak #Pumpkin #HotPepper #Laver #healthysnack #vegan #08liter #08L,22
5,2019-10-31T04:37:49.000Z,svenjaymusic,Strange vegan dragons,,1
7,2018-10-09T07:04:09.000Z,mirelly.albuquerquee,boso1219 WWWUPARSEGUIDORESCOM,,1
9,2016-09-07T10:26:23.000Z,foucher.demilly,Magnificent,,0
10,2016-09-07T10:26:23.000Z,dont0cry,Superb,,0
11,2019-02-20T14:03:39.000Z,namkung_leo,Kimbugak scampi oystercream Tmtbugakkoreanpuffednorisnacktomatoes,#bugak #koreanpuffednori #snack #tomatoes,26
12,2019-06-20T01:47:09.000Z,m2_malamute,costcosneckbugak,#costco #sneck #bugak,11
14,2016-09-11T10:30:46.000Z,noelpalomo,Itoyung pinasok namin kaninang tanghali sa masukal na kagubatan na paliguan ang Shyren Bugak Spring PoolMaraming swimming pool at sa bukal galing ang tubigpara doon kumain at mag imbita para sa mamayang rakrakan sa LSV HotelPapiktyur na rin sa amin ang mga naliligo at dahil may live band doon nahiritan na rin kaming tumugtog at maki jam ng dalawang kantaSiakolan naSiakolGabayLakasTamaBansalanDavaoDelSurBugakBukalShyrenBugakSpringPoolMindanaoTour2016Haymabu,#Gabay #LakasTama #Bansalan #DavaoDelSur #Bugak #Bukal #ShyrenBugakSpringPool #MindanaoTour2016 #Haymabu,18
15,2018-04-14T11:45:05.000Z,jeaniangjean,BugakDavsurBansalan020218,#Bugak #Davsur #Bansalan #020218,8
17,2020-06-09T03:40:23.000Z,killer6144,DGG,,1
19,2016-11-22T09:05:23.000Z,stockholmandtheworld,Gyeongbokgung Palacehome of Kings of the Joseon dynastyBuilt in 1395 koreatravelkoreagyeongbokgungseoulhangukmountbugakbugak,#korea #travelkorea #gyeongbokgung #seoul #hanguk #mountbugak #bugak,5
22,2018-07-25T03:04:21.000Z,velovous,Nice pic,,0
