,date,user_id,pp_text,tag,like_point
0,2018-01-29T08:37:09.000Z,shaffizzat,Bos Muda Crispy Seaweed Snacks1st Muslim ProductsDijamin bersih dan halalTerdapat 3 jenis perisaOriginal flavourHot spicy flavourCheese flavourNEW RM4 packCOD Area KajangMinimum order 3 paketBy poslaju pun boleWasapWww wasap my 60147137011 bosmudabosmudaseaweedsnackbosmudacrispyseaweedcrispyseaweedsnackrumpailautsnekrumpailautcrispyseaweedsnacksnackshealtyhalalsedaprangupsayajualsayajualmurahkajang,#bosmudaseaweedsnack #bosmudacrispyseaweed #crispyseaweedsnack #rumpailaut #snekrumpailaut #crispy #seaweedsnack #snacks #healty #halal #sedap #rangup #sayajual #sayajualmurah #kajang,21
1,2018-01-29T08:37:09.000Z,syahiralahhh,Pm,,0
2,2015-09-22T06:17:45.000Z,mrdeeds72,Anyone up for alatenightsnackseaweedseaweedsnackdriedseaweed,#latenightsnack #seaweed #seaweedsnack #driedseaweed,11
3,2015-04-23T15:53:30.000Z,memsoneats,Blir alltid som ett barn pjulafton n r jag h mtar ut order fr nvitaminvaruhusetExtra kul denna g ng djag fick 15rabatt palltlskarabatter Ikv ll blir det rostade mandlar som snacks i TV soffan h lsaienboxchlorellapulverchiafr nekomandlarmajsmj lomega3seaweedsnackreneevoltaireeko,#vitaminvaruhuset #lskarabatter #hlsaienbox #chlorellapulver #chiafrn #ekomandlar #majsmjl #omega3 #seaweedsnack #reneevoltaire #eko,11
4,2018-03-21T09:11:08.000Z,littlelunchbox_,Seaweed snack with sesameSnack sehat utk anak2Bisa utk dibawa di kontak bekel anak atau bs dibawa travellingSuper yummyseaweedseaweedsnacksesamebekelbekalbekelliamsuperyummyyummykidstoddlersnacksnacksproductofkoreahealthysnack,#seaweedsnack #sesame #bekel #bekal #bekelliam #super #yummy #yummy #kids #toddler #snack #snacks #productofkorea #healthysnack,11
5,2015-09-12T19:37:38.000Z,theseaofchangetradingcompany,Come visit our booth today atOrchardNutrition Health Fair till 2 p mAnd try all of our seaweed products seaweedsnackseaofchangetradinghealthysnacks,#OrchardNutrition #seaweedsnack #seaofchangetrading #healthysnacks,18
6,2018-08-04T00:05:39.000Z,luckysta_4u,Snowcrab Seaweed Snack in Lotte mart daegegimseafoodseaweedseasonedlaverseaweedsnacklottelottemartsnowcrabsnowcrabseaweedsnack,#daegegim #seafood #seaweed #seasonedlaver #seaweedsnack #lotte #lottemart #snowcrab #snowcrabseaweedsnack,67
7,2018-08-04T00:05:39.000Z,leesiyeon2235,APP 010 8678 8123,,0
8,2013-03-17T23:00:43.000Z,koluronbi,What s in your Traderjoecart seaweedsnack salads pizza risotto hairproducts,,4
9,2020-02-03T21:10:36.000Z,thedogfada,Who else snacks on seaweed Some say it s an acquired tasteI love itAquamanroastedseaweedseaweedseaweedsnacksseaweedsaladseaweedsseaweedsnackseaweedbrainsnacksnacktimedhaaquaman,#roastedseaweed #seaweed #seaweedsnacks #seaweedsalad #seaweeds #seaweedsnack #seaweedbrain #snack #snacktime #dha #aquaman,28
10,2020-02-03T21:10:36.000Z,plant_powered_anna,Mememememmememeeeee,,2
11,2020-02-03T21:10:36.000Z,glitterclown80,likeem,,1
12,2017-10-31T13:28:13.000Z,konsciouslyklean,When Halloween falls on atoasttuesday this is what happens Mashed up an and mixed it withfurtherfood marine collagen peptidesKLEAN10 for discount I also added a couple olives seaweed to complete Frankenstein s faceHappy HalloweenWhat s your costume,#toasttuesday,258
13,2017-10-31T13:28:13.000Z,torontoblondie,Hehe best toast Tuesday I ve seen,,1
14,2017-10-31T13:28:13.000Z,__smelltheroses,So cute,,1
15,2017-10-31T13:28:13.000Z,s.g.prince,Ahhh love this,,1
16,2017-10-31T13:28:13.000Z,mariellebrookeb_fit,Haha this isamazing,,1
17,2017-10-31T13:28:13.000Z,katekerner,Love this,,1
18,2017-10-31T13:28:13.000Z,golden.root,This is too cute,,1
19,2017-10-31T13:28:13.000Z,kelsiebrownblog,This is adorable,,1
20,2017-10-31T13:28:13.000Z,endlessinthekitchen,Cute,,1
21,2017-10-31T13:28:13.000Z,ohmygim,Excellent,,0
22,2017-10-31T13:28:13.000Z,ohmygim,We are pleased to see you having fun with seaweedwe all comes from ocean and seaweed is origin of lifevery nutritioustry our OMGIt s plantbased seaweed snack,,0
23,2018-07-12T21:24:28.000Z,gitdeum_official,seaweedsnack,#seaweedsnack,17
24,2017-09-29T13:42:18.000Z,b_phoebe_,Loveseaweedsnackroastseaweed frombooheephoebefoodeatwithphoebeli,#seaweedsnack #roastseaweed #boohee #phoebefood #eatwithphoebeli,0
25,2019-10-07T00:14:57.000Z,mindfreakbiatches,seaweedseaweedsoupseaweedbrainseaweedsseaweedsaladbioseaweedgelseaweedfarmseaweedsnacksseaweedsnackseaweedmaskseaweedskincareseaweedfarmingseaweedbathseaweedchipsseaweedsoaphowdofishgethighfishjokesmindfreakbiatchesweedjokesweedhumorweedhumourDOWNLOAD Hashtag app hashtaginspectr,#seaweedsoup #seaweedbrain #seaweeds #seaweedsalad #bioseaweedgel #seaweedfarm #seaweedsnacks #seaweedsnack #seaweedmask #seaweedskincare #seaweedfarming #seaweedbath #seaweedchips #seaweedsoap #howdofishgethigh #fishjokes #mindfreakbiatches #weedjokes #weedhumor #weedhumour,77
26,2019-10-07T00:14:57.000Z,alexanderdusseljee,gabrielladcruz,,0
27,2019-10-07T00:14:57.000Z,ohmygim,Lol,,0
28,2018-05-23T05:39:47.000Z,quratucookies,Hai semuaStart Dr 17 5 2018 12 06 2018 ni Crunchy Seaweed Popia Cheese Original akan berada di boothhbventuresoleoleshoppingmallJom dtg beramai ramai kfoodfoodpornfoodiefoodbloggerfoodlovermoodmoodrepublikfamousviralviralkanbazaarbazaaronlinemalaysiabazarpaknilmurahmalaysiamalaysiaigmalaysiainstashopruangrezekihananiaseaweedseaweedpopiaseaweedsnackpopularsukamakanjjcmjjcmtv3shahalamshahalamresident,#oleoleshoppingmall #foodporn #foodie #foodblogger #foodlover #mood #moodrepublik #famous #viral #viralkan #bazaar #bazaaronlinemalaysia #bazarpaknilmurah #malaysia #malaysiaig #malaysiainstashop #ruangrezekihanania #seaweed #seaweedpopia #seaweedsnack #popular #sukamakan #jjcm #jjcmtv3 #shahalam #shahalamresident,22
29,2018-05-23T05:39:47.000Z,kccmmarketing,hiwant to gain more followers and saleswe giving 3 days free trial,,0
30,2017-05-10T07:03:16.000Z,heathandheathertea,Harness the power of the sea with our Organic Matcha Green Tea with Seaweed,,97
31,2017-05-10T07:03:16.000Z,heathandheathertea,naturallivingasnatureintendednaturallivingnaturalfoodnaturaleatsorganicorganicaorganicteaorganiceatsorganiclifeorganicfoodorganicdrinksseaweedseaweedsnackseaweedbrainmatchamatchagreenteamatchateamatchagreengreenteagreenteatime,#naturalliving #asnatureintended #naturalliving #naturalfood #naturaleats #organic #organica #organictea #organiceats #organiclife #organicfood #organicdrinks #seaweed #seaweedsnack #seaweedbrain #matcha #matchagreentea #matchatea #matchagreen #greentea #greenteatime,0
32,2017-05-10T07:03:16.000Z,nrtomsk,Sounds yummy,,1
33,2017-05-10T07:03:16.000Z,matchaeologistÀÎÁõµÊ,AwesomeWe love seeing people enjoying this mighty green energyHope to see more,,1
34,2017-05-10T07:03:16.000Z,thegreenwitchery,Super duper,,0
35,2017-05-10T07:03:16.000Z,loopsandchris,heathandheathertea hiwould you recommend me a tea to lose weight,,0
36,2017-05-10T07:03:16.000Z,goodcatchfoodsÀÎÁõµÊ,Brilliant,,0
37,2015-09-17T12:18:57.000Z,coklatomellosedap,sayajualmurah popiaseaweed foodvendorwanted seaweedsnack snek kerepek segamat doorgift gift jajan Wassap 0127347481,#sayajualmurahpopiaseaweedfoodvendorwantedseaweedsnacksnekkerepeksegamatdoorgiftgiftjajan,9
