,date,user_id,pp_text,tag,like_point
0,2019-07-25T18:21:59.000Z,joyfulchallenge,I may or may not have horrendous breath later but at least I m snacking healthy seasnaxseaweedchipshealthyfunyunsfireshotbreathoffiregeneshealthfood,#seasnax #seaweedchips #healthyfunyuns #fireshot #breathoffire #geneshealthfood,4
1,2019-07-25T18:21:59.000Z,koreanseaweed,Love your photoBtwif you re looking for a tasty addition to your everyday meal look no furtherIntroducing korean seaweed the new superfood,,1
2,2020-05-26T04:12:12.000Z,bitemebite2020,WHATMASIH PROMOSICEPATCEPATCEPATORDER SEKARANG Wasap no agent kami di bawah untuk keterangan lanjutwasap my 60169081202 bitemewasap my 601121472559 dauzwasap my 60198820019 suema seaweedchipsseaweedfoodseaweedsnacksseaweedlover,#seaweedfood #seaweedsnacks #seaweedlover,31
3,2020-05-26T04:12:12.000Z,hindonsaid,Pm balang kuih,,0
4,2018-02-24T10:53:59.000Z,maria_wildflower,bibigo seaweedsnackseaweedchips koreansnackcheiljedang,#bibigo #seaweedsnack #seaweedchips #koreansnack #cheiljedang,8
5,2014-05-18T17:27:01.000Z,oceanshalo,Ourseaweedchips are a hitmontereybayaquariumcfsmba,#seaweedchips #cfsmba,15
6,2019-07-10T23:17:54.000Z,jessethemess,Ducks duckslaketravismysecretspotlakedayilovewaterseaweedchipshappyday,#ducks #laketravis #mysecretspot #lakeday #ilovewater #seaweedchips #happyday,14
7,2019-07-10T23:17:54.000Z,chillic77,fuckinducks,#fuckinducks,1
8,2012-08-09T19:58:58.000Z,ilsamichelle,Can you spot thehomemadeseaweedchipswhatveganseat for lunch,#homemade #seaweedchips #whatveganseat,0
9,2020-01-09T16:40:57.000Z,youree_yu,My favorite korean snack seaweedchips bugak,#seaweedchipsbugak,9
10,2020-01-09T16:40:57.000Z,loverachel7,costco,,0
11,2020-07-17T16:32:47.000Z,seasnax,Raise your hand if you crave the crunch ifyouknowyouknow Chomperz make for an excellent croutonBig bold crunch Big bold flavor anallergiclife,#ifyouknowyouknow,63
12,2020-07-17T16:32:47.000Z,seasnax,chomperzricericesnacksveganplantbasedseaweedchipsplantpoweredpoweredbyplantsnorigimkoreansnacksfoodieseaweedseaweedsnackstastynomnomnomchipscleaneatingrealingredientssoyfreebewelleatwellsnackwellwellnesswednesdaynongmostickyrice,#chomperz #rice #ricesnacks #vegan #plantbased #seaweedchips #plantpowered #poweredbyplants #nori #gim #koreansnacks #foodie #seaweed #seaweedsnacks #tasty #nomnomnom #chips #cleaneating #realingredients #soyfree #bewell #eatwell #snackwell #wellnesswednesday #nongmo #stickyrice,0
13,2020-07-17T16:32:47.000Z,niarammal,Amazzzzing and so uniqueI love your BBQ flavor,,1
14,2020-07-17T16:32:47.000Z,majesticgarlic,Yum yum yum,,0
15,2020-07-17T16:32:47.000Z,cassiegreenhealth,Beautiful saladAnd yes to the chompers crouton idea,,1
17,2017-03-03T02:40:23.000Z,bazaaria.shop,Siapa suka seaweed atuthen grab these munchiesSeaweedChipsPopiaSeaweedGulung Available inside cube J4 Azisha Cube atPitstopKB,#PopiaSeaweedGulung #PitstopKB,0
19,2020-07-14T12:30:51.000Z,joshealthycupboard,PLANT BASED STORE CUPBOARD SNACKSADgifted productSHORE SEAWEED is a Scottish company based in the North of Scotlandsourcing sustainable seaweed from the shores of Wickto make their crispsclusters and pestoI have been eating their seaweed puffs for over a year now and loved them as an office snackwhen I used to be at my desk two days a weekI was delighted to be sent some of their new range to try and look forward to sharing more of their products You can check ourshoreseaweed and purchase their products via AmazonDo you like seaweed or eat it regularly,,0
20,2020-07-14T12:30:51.000Z,joshealthycupboard,scottishbloggersscottishfoodbloggersinstafoodveganrecipesdiscoverunder5kplantbasedfoodplantbasedlivingplantbasedrunnershoreseaweedseaweedsnacksseaweedchipsauthenticitymaternalmentalhealthfoodpictureveganrecipehomemadeplantbasedrecipezerowastescotlandeatmorevegscottishvegansvegansofigvegetarianrecipefoodwriterrecipecreatorsimpleswapssustainablescotlandplantbasedrunnerscottishseaweedinstarunnerplantbasedjourney,#scottishbloggers #scottishfoodbloggers #instafood #veganrecipes #discoverunder5k #plantbasedfood #plantbasedliving #plantbasedrunner #shoreseaweed #seaweedsnacks #seaweedchips #authenticity #maternalmentalhealth #foodpicture #veganrecipe #homemade #plantbasedrecipe #zerowastescotland #eatmoreveg #scottishvegans #vegansofig #vegetarianrecipe #foodwriter #recipecreator #simpleswaps #sustainablescotland #plantbasedrunner #scottishseaweed #instarunner #plantbasedjourney,0
21,2020-07-14T12:30:51.000Z,tashadcruz,They sound greatlove a seaweed snack,,0
22,2018-04-20T05:20:12.000Z,iamtashwiba,One of my more creative made up recipesI call themcaliforniabeachboats since they re like acaliforniaroll withseaweedsalad on a lettuce boat cucumberseaweedseaweedchipsnorisrirachakrabstickavocadovegetarianpescatarianglutenfreeiaddedmoresaucekrab,#californiabeachboats #californiaroll #seaweedsalad #seaweed #seaweedchips #nori #sriracha #krabstick #avocado #vegetarian #pescatarian #glutenfree #iaddedmoresauce #krab,25
23,2020-06-29T03:33:52.000Z,ann_normie,seaweedchips Nak belajar tp ngantuk No worries Kerepek seaweed ni ada original cheese hot spicyKudap2 sambil study Baik petangWalau tgh malamSesedap rasa,#seaweedchips,0
24,2020-02-25T08:15:42.000Z,sjyseaweed,Almost at the end of FebruaryDreaming of spring and a bag of SJY snack in our handSpring and SJY snack available soon,,48
25,2020-02-25T08:15:42.000Z,sjyseaweed,SJYseaweedseaweedseaweedsnacksseaweedchipsseaweedfoodsj matSeafoodlokalmatseafoodfromnorwayvisithelgelandluroykommuneJanita Zenteno,#SJYseaweed #seaweed #seaweedsnacks #seaweedchips #seaweedfood #sjmatSeafood #lokalmat #seafoodfromnorway #visithelgeland #luroykommune,0
26,2017-07-21T17:07:49.000Z,corey2490,Mmmm so deliciousTaste like the oceanseaweedchipsshouldigoonadietseaweed,#seaweedchips #shouldigoonadiet #seaweed,10
27,2017-01-16T21:30:49.000Z,krose116,Service was so amazing todayseaweedchipswalkytalkyfunoutinservice,#seaweedchips #walkytalky #funoutinservice,39
28,2017-01-16T21:30:49.000Z,onyourleft13,Yay,,0
29,2017-09-16T17:46:32.000Z,sriracha08,srirachaseaweedseaweedchipsbrownriceorganicgimmeorganicgimmesnacksgimmehealth,#sriracha #seaweed #seaweedchips #brownrice #organic #gimmeorganic #gimmesnacks #gimmehealth,3
30,2014-04-10T00:33:42.000Z,letkemanj,humanfishfoodProbably the most disgusting thing I ve had in a while seaweedchipswhosideawasthis,#humanfishfood #seaweedchips #whosideawasthis,22
31,2016-06-15T19:06:59.000Z,mlb0580,Obsessed with these1g of Carbs per serving ketolowcarbsnackseaweedcrispsseaweedchips,#keto #lowcarbsnack #seaweedcrisps #seaweedchips,10
32,2014-04-07T19:39:53.000Z,oceanshalo,In honor ofWorldHealthDay we re going double duty onsuperfoods kale salad topped withseaweedchips is where it s at,#WorldHealthDay #superfoods #kale #seaweedchips,14
33,2014-10-27T23:27:33.000Z,oceanshalo,We had a great time atgreenfestival Chicago this weekend greenfestivalgreenfestchicagoseaweedchipsswimagainstthetidehealthysnacking,#greenfestival #greenfestchicago #seaweedchips #swimagainstthetide #healthysnacking,9
34,2020-05-31T03:55:33.000Z,bitemebite2020,Crunchy Seaweed by bite me terbang ke semenanjung terima kasih pada yang order kita tunggu feedback plak wasap my 60169081202 biteme untuk tempahanseaweedchipsseaweedfoodseaweedsnackloveseaweedseaweedloverkerepeksedapkerepekseaweed,#seaweedfood #seaweedsnack #loveseaweed #seaweedlover #kerepeksedap #kerepekseaweed,9
35,2019-07-11T11:59:53.000Z,kjserag,My dinner yummychipsseaweedchipsproductofTawiTawi,#yummychips #seaweedchips #productofTawiTawi,8
36,2015-02-21T18:03:16.000Z,chronic_crystal_mermaid,And she ate almost the whole packageclose enough i think i ate five To bad I cant convince her to try my kombuchaseaweedchipskombuchahealthyeatingkidleadbyexample,#seaweedchips #kombucha #healthyeatingkid #leadbyexample,11
37,2015-02-21T18:03:16.000Z,jen.leeman,I never tried kombucha but I love the roasted seaweedI eat a whole pack in one sitting even though it says5 servings,,0
38,2015-02-21T18:03:16.000Z,chronic_crystal_mermaid,driftwoodgardens if you like vinegarettes its goodtry multiple flavors before deciding yes the seaweed was on sale today once they are open they are gone,,0
39,2015-05-18T21:11:40.000Z,haleypurrin,Thank you Whole Foodswholefoodsseaweedchipsinfusedwater,#wholefoods #seaweedchips #infusedwater,8
41,2018-06-03T04:23:43.000Z,sharifah_soleha,3 brp awk,,1
42,2016-04-08T18:58:32.000Z,missellaneouz,Went to P Mall with my nieceawesome marshmellowCandychipspockyemaemacandygarlictoastpotatochipscalbeecalbeepizzachipstarochipsinstantmilkteashrimpchipslobsterchipspockysticksstawberrypockycaramellatteGudetamacaramellattepockystrawberrycrackersseaweedtakoyakichichipsseaweedchipswasabichipswasabeepacificmallinstagoodfoodiejunkfoodyumyumyolo,#Candy #chips #pocky #ema #emacandy #garlictoastpotatochips #calbee #calbeepizzachips #tarochips #instantmilktea #shrimpchips #lobsterchips #pockysticks #stawberrypocky #caramellatte #Gudetama #caramellattepocky #strawberrycrackers #seaweed #takoyakichichips #seaweedchips #wasabichips #wasabee #pacificmall #instagood #foodie #junkfood #yumyum #yolo,17
43,2016-04-08T18:58:32.000Z,sarah.spam_._,Ok stop it with the junk food,,0
44,2016-04-08T18:58:32.000Z,sarah.spam_._,Lol,,0
45,2016-04-08T18:58:32.000Z,osomonyx,Nice,,0
46,2015-02-10T08:42:51.000Z,deliciousaddictions,DeliciousAddictionsbedoksouthave3chinesenewyearcnygoodiesarrowheadchipsseaweedchipsgoldenpopscornflakessgfoodiesigsgpolkadotssakuraigsg,#DeliciousAddictions #bedoksouthave3 #chinesenewyear #cny #goodies #arrowheadchips #seaweedchips #goldenpops #cornflakes #sgfoodies #igsg #polkadots #sakura #igsg,9
47,2014-07-26T17:18:16.000Z,oceanshalo,Fly news Seaweedchips got the from the Flywheel Larchmont team flywheelsportsnevercoastsoswell,#Seaweedchips #nevercoast #soswell,14
