date,user_id,pp_text,tag,like_point
2014-09-18T23:12:32.000Z,vegancuts,Newoceanshalo flavor alertTexas BBQ Chips seaweedchipsexpoeastvegansatexpo,#seaweedchips #expoeast #vegansatexpo,431
2014-03-28T05:43:04.000Z,advercar,oceanshalocampaignoceanshalolosangelesseaweedchips,#oceanshalo #campaign #losangeles #seaweedchips,378
2014-07-18T17:18:41.000Z,thehealthybox,H r har vi hela sushitallriken som vi gjorde med hj lp av Seaweed Snack fr nnutrinick swedenVeggie RollSashimiklassisk Sushi Roll och California RollDen sistn mnda fyllde vi med crabstick och mangor raoch de blev en hit F r hela sushitallriken anv nde vi 250g sushiris4 st Noriark och ett halft pkt Seaweed Snack,,178
2014-06-24T07:35:45.000Z,thehealthybox,Den h r m naden har vi inte mindrentta produkterVi forts tter med m nadens snacksSeaweed Snack fr nnutrinick swedenPerfekt attta som detreller till sushi,,173
2014-07-07T07:54:46.000Z,thehealthybox,Veggie roll coming upDettar ett perfekt alternativ f r dig som inteter fisk eller k ttEller f r dig som helt enkelt gillar god sushi ReceptGurkaavocadopurjol ksushirisett Nori arktvst Seaweed chips fr nnutrinick swedensesamfr n Koka ris enligt anvisningarnaL gg ett tunt lager ris pett nori arkStrsesamfr nver risetV nd arket sriset ligger emot bambuplatanPden tomma sidan av arket l gger du en str ng med gurkaavocado och purjol kSmula tvst Seaweed Chipsver gr nsakernaRulla ihop sushirullen med hj lp av bambuplatanL t sti kylen i ca 15 minutenoch skiva sedan upp rullen i 1 centimetersbitar F r hela sushitallriken anv nde vi 250 g sushiris4 st Nori ark och ett halv pkt Seaweed Snack fr nnutrinick swedenOm man aldrig gjort sushi f rut l gger vi upp steg f r steg bilder senare idag pwww thehealthybox se,,172
2014-07-05T18:21:29.000Z,thehealthybox,SushinightDom kommande veckorna kommer vi l gga upp sushirecept tillsammans mednutrinick sweden Seaweed SnackNi kommer bland annat frecept pCalifornia rollNigiri och Veggie Roll,,170
2014-07-15T17:15:13.000Z,thehealthybox,Sushi festen forts tterDenna g ng med en Sushi Roll och inlagd ingef raReceptF rsk ingef raekologisk honunglaxr korgurkasushirisett Nori arktvst Seaweed chips fr nnutrinick sweden Koka upp 2 dl vattenSkala en bit f rsk ingef raSkiva upp ingef ran i l vtunna skivorH ll upp de heta vattnet i en sk loch blanda ner 3 msk honung samt ingef ranL t stunder tiden du g r sushin Koka ris enligt anvisningarnaL gg ett tunt lager ris pett nori ark med blanka sidan ned tPriset l gger du en str ng med laxavokadogurka och r korSmula tvst Seaweed Chipsver risetRulla ihop sushirullen med hj lp av bambuplatanL t sti kylen i ca 15 minutenoch skiva sedan upp rullen i 1 centimetersbitar F r hela sushitallriken anv nde vi 250 g sushiris4 st Nori ark och ett halv pkt Seaweed Snack fr nnutrinick sweden,,144
2014-03-14T04:28:53.000Z,littlemissangie,I m already feeling thep2tvfoodswap love again I received my March swap box from Carmella ofthefoodduo today l may or may not have eaten half the bag ofbeanfieldssnacks chips at work todayYUM We LOVE seaweed in this house so we will definitely enjoy the teriyaki seaweedI m so excited to finally try thebadassvegan s power cookieThat is my FAVORITEvega team proteinthe vanilla chaiand we just ran outCan t wait to try the Emmy s mint chip macaroons and the Rise energy barAnd I have never seen that flavor oflarabarI love the bumper sticker fromwtfveganfoodI WILL travel for vegan foodlol And the sticker fromherbivoreclothingand some cute buttons tooI also really appreciated the sweet cardit s even a tree free greetingTHANK YOU SO MUCH CARMELLAEveryone go give her a follow thefoodduothey have a really awesome feed full of amazing vegan food,#p2tvfoodswap,119
2014-01-11T20:33:42.000Z,itsjustyu,I promise to run later todaybut for nowI ll be snacking on five packages of toasted noriWhy do they even bother packaging in small batches when they know I m going to eat all of it noritoastednoriseaweedseaweedsnackroastednorihealthyeatseatplantskoreansnackssnacktimeonepiecekarenakatrinatoneituptiuteamtoneituptiumealsloveyourbodyfeedmewilllastoneminute,#nori #toastednori #seaweed #seaweedsnack #roastednori #healthyeats #eatplants #koreansnacks #snacktime #onepiece #tiuteam #toneitup #tiumeals #loveyourbody #feedme #willlastoneminute,116
2014-07-06T11:17:04.000Z,iamsofoodie,We all love kale chips but now I ll try a new thing seaweed chipsWe picked up some eatable seaweedsweet kombuin the sea and now it s time to roast them in the owen with oilfennel seeds and herb saltSeaweed contains so many nutrients like ironfiber and vitamin B12Hope they will be delicious too,,101
2014-02-02T04:25:20.000Z,cayson87,Welcome to Cayson s Home Mini CNY s Cookies Collectioncnycny2014cookiescnycookies,#cny2014 #cookies #cnycookies,100
2014-07-05T14:18:10.000Z,logiebearnyc,Oh em geeI need it NOW seaweedsnack,#seaweedsnack,99
2014-01-02T07:41:05.000Z,nikki_chow,My favorite snack rhonnadesigns,#rhonnadesigns,93
2014-11-22T00:07:09.000Z,sarahmclaughlin,Vegan Cuts box made the end of a hectic week way betterThank you hailmerrysnacksrawveganrawmacaroonsantidotechocorawchocolatesimply7snacksquinoachipspeeledsnacksappleclustersfruigeesplantbasedsnacksoceanshaloseaweedchipssnackoutloudbeansnackssomersaultsnackssomersaultsnacksglutenfreepastakingsonavegancutsvegancutsvegansofigwhatveganseatvegansnacks,#rawvegan #rawmacaroons #rawchocolate #quinoachips #appleclusters #plantbasedsnacks #seaweedchips #beansnacks #somersaultsnacks #glutenfreepasta #kingsona #vegancuts #vegansofig #whatveganseat #vegansnacks,88
2014-10-15T06:02:27.000Z,imfederick,Good times Crazy friends Amazing memories crewlife instadaily picoftheday potd fun with selfiepod monopod batchie grandmercure hotel instafun piclover major throwback photogrid greatdayahead instamoment xian xiy china midnightquotes amazingmemories funaround quotes seaweedsnack enjoylife followme instagrammers,,75
2014-09-01T10:15:18.000Z,kitchenaffair,Homemadeseaweedchipssimplyaddictive,#Homemade #seaweedchipssimplyaddictive,69
2014-07-01T20:13:16.000Z,hybreed,Ramadhaniftarsungkey day threefor a chilly summer day I decided to make a simplevegemushroomsoup withmalaysiancakoi Thank you kak Bakiah for themurtabak andseaweedchips foodporneastmeetswestfusioncookingguyswhocooknewcastleupontyneuk,#Ramadhan #iftar #sungkey #vegemushroomsoup #malaysian #cakoi #murtabak #seaweedchips #foodporn #eastmeetswest #fusioncooking #guyswhocook #newcastleupontyne #uk,68
2014-11-17T10:11:41.000Z,jacquelinewong814,I loveunifoodporninstafoodfoodienomnomseaweedchips,#uni #foodporn #instafood #foodie #nomnom #seaweedchips,65
2014-04-07T22:48:35.000Z,breemarquez,groceryshopping traderjoes pellagrino seaweedsnack salad bakedsnacks,#groceryshoppingtraderjoespellagrinoseaweedsnacksaladbakedsnacks,63
2014-06-28T18:04:58.000Z,fostergrammm,Finding treasuresseaweedsnackbeachdaymuttsofinstagram,#seaweedsnack #beachday #muttsofinstagram,56
2014-03-28T23:21:31.000Z,caitlindechelle??????????????,The yummiest seaweed chipsDefinitely check them outSo so good oceanshalo Also thanks toCelebConnected neraidabegacaitlindechelleseaweedchipskcakidschoiceawards2014giftingpartygirlsyummy,#caitlindechelle #seaweedchips #kca #kidschoiceawards #2014 #giftingparty #girls #yummy,56
2014-05-15T14:03:23.000Z,philippuuuhl,europaparkeuromauswatisdennlosmiteuchsunfriendsbugaksundayiscomming,#europapark #euromaus #watisdennlosmiteuchsun #friends #bugak #sundayiscomming,52
2014-08-25T20:55:02.000Z,foodfitforkids,Toddler Catnip seaweedsnacks cooking with toddlersTotally thinking of you Are your kids into these yetDon t think they ll go for itJust try them outLast play date a gaggle of toddlers converged on an open packet of these like a herd of zombies on The Walking Dead healthykidshappykidshealthytoddlersrealfoodpaleokidspickykidspickyeaterspickytoddlersseaweedseaweedsnackroastedseaweedwalkingdeadtoddlerskidssnackshealthysnackslittlefoodiesfoodfitforkidstraderjoes,#seaweedsnacks #healthykids #happykids #healthytoddlers #realfood #paleokids #pickykids #pickyeaters #pickytoddlers #seaweed #seaweedsnack #roastedseaweed #walkingdead #toddlers #kids #snacks #healthysnacks #littlefoodies #foodfitforkids #traderjoes,49
2014-10-24T07:15:27.000Z,onemorebiteblog,Uni tatakiavocado mousseseaweed doritos was ridiculously deliciousI want 10 more of these please,,47
2014-09-27T07:20:44.000Z,mariagustafsson940,Seaweed chips Seasoned with wasabi Strange taste but surprisingly good,,46
2014-05-16T03:07:42.000Z,geri.jo,Happy Friday lunchredtrolleyseaweedchipspuzzlesnohusbandtoopenpulledtheprettychaudgirloutusedmyteethpaylessbuys,#lunch #redtrolley #seaweedchips #puzzles #nohusbandtoopen #pulledtheprettychaudgirlout #usedmyteeth #paylessbuys,45
2014-09-23T16:34:46.000Z,annasvegankitchen,Felt honored to prepareAnnasVeganKitchenBBQVeganChickenSandwichs for theSixFlags crewThey said it was so tasty they didn t believe it was veganOh theSecretSauce andcombinations With a side ofseaweedChips andsweetPlaintainsYesItsVeganVeganLife NoAnimals Noguilt OrganicEveryThing,#AnnasVeganKitchen #BBQ #VeganChickenSandwichs #SixFlags #SecretSauce #combinations #seaweedChips #sweetPlaintains #YesItsVegan #VeganLifeNoAnimalsNoguiltOrganicEveryThing,43
2014-06-21T04:30:56.000Z,aint_no_tourist,Chips and dip seaweedchipsnorilobsterjellyuniseaurchindreamsofunicaviarmunchies,#seaweedchips #nori #lobsterjelly #uni #seaurchin #dreamsofuni #caviar #munchies,43
2014-03-11T18:46:15.000Z,ayahmarar,Annie Chun s got it on locktenkuseaweedcrispsLA,#seaweedcrisps #LA,37
2014-11-28T13:20:20.000Z,aurahongkong,Seaweed chips I could eat tons of thisJust 3 carbs Chips de algasSi estar n buenas q mi peque de 3 a os se las come a dos manosPodr a comer bolsa tras bolsay solo 3 carbos por bolsaSeaweedchipshealthyeatcleaneathealthycetosisfitfoodfitlifelowcarbhighfatsentirsemejorbefitfoodsfamfitfoodskinnykitchenlowcarbeatlowcarbfitmomslifestylevidasanahealthylifestylehealthychoicespaleoorganicfoodsisepuedechinesefoodchinesesnack,#Seaweed #healthy #eatclean #eathealthy #cetosis #fitfood #fitlife #lowcarbhighfat #sentirsemejor #befitfoods #famfitfood #skinnykitchen #lowcarb #eatlowcarb #fitmoms #lifestyle #vidasana #healthylifestyle #healthychoices #paleo #organicfood #sisepuede #chinesefood #chinesesnack,36
2014-01-15T06:06:19.000Z,seaweedlove,FIRST EVER COCONUT ROASTED SEAWEED BY SEAWEED LOVESTAY TUNED FOR OUR DEBUT SEAWEEDLOVEseaweedsnackseaweedchipseaweedseaweedloverseaweedsnackscoconutcoconutoilcoconutshealthyfoodhealthyhealthysnackshealthylivinghealthyveganhealthymefitfitnessgym,#SEAWEEDLOVE #seaweedsnack #seaweedchip #seaweed #seaweedlover #seaweedsnacks #coconut #coconutoil #coconuts #healthyfood #healthy #healthysnacks #healthyliving #healthyvegan #healthyme #fit #fitness #gym,36
2014-02-16T13:28:03.000Z,cityfoodmonkey,Boy loves his junk foodThe chip was almost bigger than his head to startHe is eating seaweed flavoured lays chips that my sisters brought back from Thailand,,35
2014-01-30T03:47:27.000Z,sarahliew,Gong Hei Fat ChoyseaweedchipspineappletartcornflakescookiespumpkinseedspistachiospeanutsredCNY,#seaweedchips #pineappletart #cornflakescookies #pumpkinseeds #pistachios #peanuts #red #CNY,35
2014-02-05T21:35:24.000Z,seaweedlove,Coconut oil roasted seaweed seaweedsnackseaweedloveseaweedseaweedchipcoconutcoconutoilcoconutshealthyhealthyfoodhealthylivinghealthymehealthylivinghealthyveganhealthysnackfoodfoodiefoodblogfoodofthedayfoodblogger,#seaweedsnack #seaweedlove #seaweed #seaweedchip #coconut #coconutoil #coconuts #healthy #healthyfood #healthyliving #healthyme #healthyliving #healthyvegan #healthysnack #food #foodie #foodblog #foodoftheday #foodblogger,34
2014-01-30T23:26:03.000Z,seaweedlove,We are super excited to announce Seaweed Love will be offered at Google s HQ in mountain viewA big thanks to all our fans who voted for our productSpread the loveseaweedsnackgoogleseaweedloveseaweedfoodiefoodfoodgasmfoodblogblogbossceobusinessfreefoodmicrokitchenseaweedchip,#seaweedsnack #google #seaweedlove #seaweed #foodie #food #foodgasm #foodblog #blog #boss #ceo #business #freefood #microkitchen #seaweedchip,34
2014-12-18T01:53:19.000Z,missaveggie,I got my firstvegancuts box vegancutsseaweedchipsveganparmaelisearthbarsnutivabaresnackscoconutchipspicodegallochipsearnesteatsvegancandy,#vegancuts #seaweedchips #veganparma #elisearthbars #nutiva #baresnacks #coconutchips #picodegallochips #earnesteats #vegancandy,32
