,date,user_id,text,like,tag,pp_text,like_point
0,2017-12-05T13:51:27.000Z,ketouk123,"Quick, easy keto friendly snack! #keto #healthysnacks #seaweedcrisps",12,#keto #healthysnacks #seaweedcrisps,Quickeasy keto friendly snack ketohealthysnacksseaweedcrisps,12
1,2016-06-22T04:12:57.000Z,seapointfarms,"#travelessentials | Be comfortable , practical & prepared! Preparation is key when traveling so keep the #healthysnacks and docs readily available to get through TSA seamlessly ! 🤗 #seaweedcrisps #glutenfree #vegan",52,#travelessentials #healthysnacks #seaweedcrisps #glutenfree #vegan,travelessentials Be comfortable practical preparedPreparation is key when traveling so keep thehealthysnacks and docs readily available to get through TSA seamlesslyseaweedcrispsglutenfreevegan,52
2,2016-06-22T04:12:57.000Z,seapointfarms,#nongmo #passport #wanderlust #tuesday #seaweed #nori #enjoylifeeatwell #almond #sesame #superfood #whatveganseat #plantbased #healthy #june #summer #summer16,216주답글 달기,#nongmo #passport #wanderlust #tuesday #seaweed #nori #enjoylifeeatwell #almond #sesame #superfood #whatveganseat #plantbased #healthy #june #summer #summer16,nongmopassportwanderlusttuesdayseaweednorienjoylifeeatwellalmondsesamesuperfoodwhatveganseatplantbasedhealthyjunesummersummer16,0
3,2016-06-22T04:12:57.000Z,seapointfarms,#bananaleaf #leafprint #pillow #travel #eat #food #magazine #architecturaldigest,216주답글 달기,#bananaleaf #leafprint #pillow #travel #eat #food #magazine #architecturaldigest,bananaleafleafprintpillowtraveleatfoodmagazinearchitecturaldigest,0
4,2016-06-22T04:12:57.000Z,superfoodsaydeez,💜,216주답글 달기,,,0
5,2016-06-22T04:12:57.000Z,the.duke.of.wilshire,👍🏼.,216주답글 달기,,,0
6,2016-06-22T04:12:57.000Z,buppaacrof,BOOM!,216주답글 달기,,BOOM,0
7,2016-06-22T04:12:57.000Z,laurelattanasio,🙌,216주답글 달기,,,0
8,2016-06-22T04:12:57.000Z,seapointfarms,@superfoodsaydeez loving the lifestyle vibe 🌱😀,216주답글 달기,,superfoodsaydeez loving the lifestyle vibe,0
9,2016-06-22T04:12:57.000Z,seapointfarms,@forcaapp @laurelattanasio 👌😊,216주답글 달기,,forcaapplaurelattanasio,0
10,2016-06-22T04:12:57.000Z,jeckstein57,Ready for some snacks and travel!  2 weeks!!,216주답글 달기,,Ready for some snacks and travel 2 weeks,0
11,2016-06-22T04:12:57.000Z,seapointfarms,Fantastic plan for the top of summer !! @jeckstein57 🌞,216주답글 달기,,Fantastic plan for the top of summer jeckstein57,0
12,2017-04-20T09:50:06.000Z,vegan_cooker,"Diese leckeren Reis-Algen Chips (SEAWEED CRISPS) 🌱habe ich beim einkaufen in Frankreich🇫🇷 gefunden. Diese sind 🚫Glutenfrei, 🌱BIO und natürlich VEGAN 🎆.🎆#seaweedcrisps #bio #health #healthy #gesundessen #veganfrance #Glutenfrei #sansgluten #vegano #vegansk #vegetariano #france #bibigo #chipsdalgues #bretagne #vegantravelers #veganfood #healthyfood #veg #FOOD #snack #chipsderizauxalguessaveuroriginale #vegansnack",55,#bio #health #healthy #gesundessen #veganfrance #Glutenfrei #sansgluten #vegano #vegansk #vegetariano #france #bibigo #chipsdalgues #bretagne #vegantravelers #veganfood #healthyfood #veg #FOOD #snack #chipsderizauxalguessaveuroriginale #vegansnack,Diese leckeren Reis Algen ChipsSEAWEED CRISPS habe ich beim einkaufen in Frankreich gefundenDiese sindGlutenfrei BIO und nat rlich VEGAN seaweedcrispsbiohealthhealthygesundessenveganfranceGlutenfreisansglutenveganoveganskvegetarianofrancebibigochipsdalguesbretagnevegantravelersveganfoodhealthyfoodvegFOODsnackchipsderizauxalguessaveuroriginalevegansnack,55
13,2015-11-11T20:04:26.000Z,rmestes1,"These are addicting! I think these will do nicely to replace ""normal"" chips for me when I crave that crunch! #befit #behealthy #behappy #healthylife #momlife #likeaboss #women #men @wholefoods #beachbodycoach #yummy #seaweedcrisps #delicious #enjoyyourfood #eatgreat #healthychoices #putdownthechips",11,#befit #behealthy #behappy #healthylife #momlife #likeaboss #women #men #beachbodycoach #yummy #seaweedcrisps #delicious #enjoyyourfood #eatgreat #healthychoices #putdownthechips,These are addictingI think these will do nicely to replacenormalchips for me when I crave that crunch befitbehealthybehappyhealthylifemomlifelikeabosswomenmenwholefoodsbeachbodycoachyummyseaweedcrispsdeliciousenjoyyourfoodeatgreathealthychoicesputdownthechips,11
14,2015-11-11T20:04:26.000Z,matt_dillingham,Aww cool,248주답글 달기,,Aww cool,0
15,2015-11-11T20:04:26.000Z,_phlabs,"Tag us in your ""healthy lifestyle"" pics and you could get featured on our account",247주답글 달기,,Tag us in yourhealthy lifestylepics and you could get featured on our account,0
16,2020-02-23T13:55:15.000Z,snackinglove,SOOOO delicious!! These have a thin layer of crisp tapioca. Game changer for seaweed crisps 💚💚💚,2,,SOOOO delicious These have a thin layer of crisp tapiocaGame changer for seaweed crisps,2
17,2020-02-23T13:55:15.000Z,snackinglove,#seaweedcrisps #abakusfoods #seaweed #healthysnack,24주답글 달기,#seaweedcrisps #abakusfoods #seaweed #healthysnack,seaweedcrispsabakusfoodsseaweedhealthysnack,0
