score,title,author,date,comment
1,Organic Seaweed Snacks Review,"Ashley F.,",24-Jan-20,I wasn't a big fan I really didnt like the flavor at all. I also don't like sea weed so that could also be the problem if you like seaweed you might actually like this [This review was collected as part of a promotion.]
1,Organic Seaweed Snacks Review,"Brenda B.,",19-Jan-20,I did not like the taste and the texture of the Seaweed snacks. It tasted fishy. I have liked the other Oceans Halo products that I have tried [This review was collected as part of a promotion.]
2,Organic Seaweed Snacks Review,"Patricia D.,",21-Feb-20,"I did not enjoy the taste or texture of this product so I do not recommend this product. It is on the pricy side also, and kind of hard to find in the store [This review was collected as part of a promotion.]"
2,Organic Seaweed Snacks Review,"michael L.,",22-Jan-20,"It has a good crunch, not too salty with enough wasabi flavor. It was good as a snack it self or on top of rice. Good flavor. Going to try different one [This review was collected as part of a promotion.]"
2,Organic Seaweed Snacks Review,"Katharine W.,",03-Mar-20,I tried the pho soup kit. It was incredibly salty and kind of bland. I make better pho broth than this and would not buy it as a quick meal. I would rather make my own from scratch or go out. [This review was collected as part of a promotion.]
1,Organic Seaweed Snacks Review,"Patricia C.,",30-Jan-20,"They were nasty. After the first crunch they turned slimy and tasted like fish. I was not a fan of those and neither was my son, and he likes sushi. [This review was collected as part of a promotion.]"
2,Organic Seaweed Snacks Review,"Vanessa M.,",14-Nov-19,So ill personally never buy this product again the after taste was horrible it went down easy. But not something I'd recommend to anyone the only reason i gave it 2 stars was because it looks nice. Just doesn't taste good at all. [This review was collected as part of a promotion.]
1,Organic Seaweed Snacks Review,"Megan M.,",16-Dec-19,"Well....I was very excited to try some of these products because I LOVE Asian food. Today I purchased the seaweed snacks and the ramen bowl. I was very eager to try it so I ripped it open as soon as I got into the car and put a piece into my mouth......And then I almost threw up immediately. I hate to sound dramatic but it's true. I'm not 100% sure if it was a texture thing or an actual taste thing but it was awful!! It took EVERYTHING in my power to not throw up in my car. I had to dig in my center console for a piece of gum to help get the taste out of my mouth. I am still looking forward to trying other products in this line, but the seaweed snacks are definitely not for me. I also purchased the wasabi flavor but I am TERRIFIED to try it. [This review was collected as part of a promotion.]"
2,Organic Seaweed Snacks Review,"Hannah W.,",16-Dec-19,"I've never tried seaweed before, so i wasn't really sure what to expect with these snacks. I wasn't a fan, especially of the overwhelming salty fish taste. Someone who likes seaweed tried it though and he liked it! [This review was collected as part of a promotion.]"
1,Gross,"Mace,",01-Jul-20,"this tastes like lakewater, like you just swallowed a lakewater."
1,Organic Seaweed Snacks Review,"Tara F.,",18-Nov-19,"I bought these because I got the coupons. My family had never tried them. Turned out they didnt like them. But,it was worth it to try them. Y ok u never know. [This review was collected as part of a promotion.]"
2,Organic Seaweed Snacks Review,"Meagan B.,",24-Nov-18,I am already not a fan if seaweed but Love sushi so I was excited to give this a try. I got the bacon flavor. The flavor was ok but the sheets could have been in smaller size where you just pick and eat. After 2 pieces I threw this product away because the fishy taste was so bad I could not take it anymore and this is coming from someone who is not a picky eater all and loves fish as well.
1,Organic Seaweed Snacks Review,"Heather F.,",25-Nov-18,"I didn't really enjoy these. I got the sea salt variety but the overall flavor just wasn't for me. It left a weird after taste. I didn't enjoy the texture either. I'm looking forward to trying other products from this brand, however. This one just wasn't for me. #GotItFree"
1,Organic Seaweed Snacks Review,"Kat G.,",25-Nov-18,I was intrigued when i opened the package. Ive has sushi before so i knew I liked seaweed. I thought i would like the crunchy texture and i did. But I didnt like the flavor at all. I had the seaweed one and it just tasted like sour salty green stuff. I wouldn't buy it again. I just didn't care for the flavor.
1,Organic Seaweed Snacks Review,"nic S.,",15-Nov-18,I received this product via Free coupon in exchange for my honest review from social nature. While I was very excited to try this product I wasn't very pleased with its taste. I choose the sea salt flavor because I thought it was safe. I am not a huge sea food fan; in fact most sea food makes me sick to my stomach. This smelled salty and tasted like salted algae(sp). I actually had to run to the trash can after kinda chewing it because I almost threw up in my mouth. If you like fish or shrimp you'll probably like this but its not for me. I'd still like to give some of their other products a try but I will never touch seaweed again. LOL
2,Organic Seaweed Snacks Review,"Ruthelle L.,",13-Jan-19,"I got the sea salt organic seaweed snacks. The seaweed sheets are very thin. I tried one by just eating it by itself. I was not very fond of the taste or aftertaste. So I decided to give it another try and had some with white rice. This taste was much better when I had it wrapped around the rice. However, the aftertaste still wasn't pleasant for me. So sadly I wouldn't purchase this specific product again because I didn't like the lingering aftertaste."
1,Organic Seaweed Snacks Review,"Karen M.,",11-Nov-18,"I tried the Ocean's Halo Organic Seaweed Snacks Sea Salt flavor and was not impressed. First, they are see- through thin and they're a size that is too big to fit the whole sheet in your mouth, but when you try to just bite a piece off or fold it in half they break and crumble. And I'm not a fan of seafood at all so maybe that's why I didn't like the taste or smell. Maybe a stronger flavor like wasabi or sriracha would mask the sea smell better and make them more edible to me."
1,Organic Seaweed Snacks Review,"Samantha G.,",28-Jan-19,"I was absolutely not the audience for these seaweed things. I put one in my mouth and it got stuck to my tongue like a Listerine strip and I couldn't get it out. It was gross. I gave my remaining product to a co-worker who LOVES them. More for her! Thanks for the sample, though!"
1,Organic Seaweed Snacks Review,"Alexa J.,",06-Dec-18,"Personally, I did not care for Ocean's Halo Seaweed Snacks. I tried sea salt flavor. I thought they would be more like crisps, however they are more paper-like. They also had a bit of a fishy undertone, which makes sense since they are seaweed but I didn't expect it. I would not buy this product again, but I may recommend it to someone who likes this type of food."
2,Organic Seaweed Snacks Review,"Stephanie H.,",22-Jan-19,"i have never tried anything with seaweed in it, so i was a little hesitant on these but excited to try none the less. i really wanted to like these, but i just didn't. maybe if you're already a fan of seaweed, these are the snacks for you. i did like the flavoring to them, but i think it was the seaweed flavor that ruined it for me in the end."
1,Organic Seaweed Snacks Review,"Debbie B.,",29-Oct-18,I just used the Sea Salt Halo organic seaweed snacks to snack on. I didn't care for them just because I'm not used to eating that type of food. I do like the fact they are organic and better for you than regular snacks. I'm sure other people might find them amazing.
2,Organic Seaweed Snacks Review,"Tracy D.,",11-Mar-19,It was not a pleasing flavor or texture in my opinion. Perhaps if I had tried an actual flavor & not just sea salt my opinion would be different. I was unable to find the other flavors at the store I went to though so I tried what they had. I will not be purchasing it again.
2,Organic Seaweed Snacks Review,"Brinda V.,",30-Nov-18,I will say that this is definitely an acquired taste. Either you like it or not. I personally thought it was ok but don't think I will be buying any more anytime soon. My daughter on the other hand loves them. She eats them all day. Like I said it's an acquired taste.
2,Organic Seaweed Snacks Review,"Eileen T.,",30-Nov-18,I tried the Sea Salt Halo Seaweed Snacks. I did not like anything about the Seaweed Snacks. They were as thin a piece of paper. At first it just had a strong spinach like taste with salt. Then as you chewed it and it softened up a strong fishy taste emerged. Yuk! I never had any type of fish taste this fishy.
1,BARF!!!,"steve,",28-Jan-19,Don't listen to the others unless you like the taste of rotting fish. I had a tiny bite and almost barfed. My dogs wouldn't eat it at first then they did but they like whitefish dog food so maybe that's why I highly recommend not eating it but pranking friends into eating it.
2,Organic Seaweed Snacks Review,"Delta B.,",25-Nov-18,"I didn't like the texture or the taste that much. I tried other products like this in the past and I know it all natural and organic so I try to make myself like these types of products and I'm just not into it. What I mean by ""these types of products,"" is knowing that I'm actually eating seaweed. I've tried 2 other seaweed organic products sort of like HALO, but I can't get past the fact that its seaweed. I love organic items though, they're my favorite products because I know that there's no chemicals or pesticides and other added substances to make a product better tasting, but in all reality, it's not good for you. I love organic, but I will eat non-organic items as long as I read the ingredients and it's favorable to me. I will literally read every ingredient and the amount of vitamins, minerals, sugars, cholesterol, fats, etc in items that are new to me. I love trying new things, but I have to say I didn't necessarily enjoyed eating this. I didn't use the buy one get one coupons that were sent because I haven't used them yet. I intend to because it looks like there are different HALO products to try other than the seaweed one. I'm just giving my honest feedback, but others might enjoy this product. Thank you for letting me try this for free and the additional coupons that will be used in the future."
1,Organic Seaweed Snacks Review,"Crystal F.,",13-Jan-19,Organic Seaweed Snacks were not for me. I was hoping i would like it so i could include something naturally high in iodine into my diet but unfortunately i couldnt do it. Neither of my kids would eat it either... I have never had seaweed so it isnt the brand it is just the taste of seaweed.
2,Organic Seaweed Snacks Review,"AMBER G.,",29-Nov-18,"I'd never tried anything like this before. I was rather skeptical at first, I didn't know how I'd feel about eating green seaweed lol. But I wanted to try these. I wasn't crazy about the texture, but the flavor wasn't bad. Although I appreciate the opportunity, I doubt I'll be buying these for myself any time soom."
1,Organic Seaweed Snacks Review,"karolina P.,",29-Oct-18,I honestly could not find the seaweed snacks in any of the stores located in the flyer. And I even when out of town twice to look for the product and nothing. I ended up with the miso noodle bowl to test out and review and wasnt a fan. It tasted very bland. It was very much tasteless.
2,Organic Seaweed Snacks Review,"Angelle S.,",02-Dec-18,"I love the idea of the brand and the healthy ingredients Ocean Halo uses in their products. However, I personally did not enjoy the Halo seaweed snacks. I shared them with my household, but it was not received well either. I tried the vegan bacon flavor, the texture was interesting, and they sort of melt away in your mouth, but I just did not like the taste at all. They were pretty strong, and I could not get past the first bite. I will try to use them in a Miso soup and see if they will work better to compliment a dish rather than eaten on their own."
1,Organic Seaweed Snacks Review,"Pat P.,",13-Dec-18,"I prepared the Miso Noodle Bowl, the exact way directions stated. Nowhere in the directions did it say when to add the soy. The noodles were not cooked enough at the required time so I cooked longer. The taste was not at all to my liking and i have had Miso soup in restaurants. I couldn't even eat it."
1,Organic Seaweed Snacks Review,"Omaimah G.,",01-Jan-19,"I tried the spicy noodles. The noodles were thick like spaghetti, and I didn't like the flavor of the broth. I was also disappointed by the small package of crushed red pepper ( maybe if it contained a couple of dried Thai peppers, it would have added a little heat)."
2,Organic Seaweed Snacks Review,"Sascha W.,",25-Nov-18,"I tried the Miso Noodle Bowl and I was not impressed. It took a lot longer for the noodles to soften up than the directions suggested. It was bland, not that I expect miso soup to have a ton of flavor, but what flavor this one did have was slightly bitter. When I have miso soup I expect it to be savory and salty, and this just didn't do it for me. Also, it's a lot of packaging, and not much food for the price."
1,Organic Seaweed Snacks Review,"Hollie S.,",27-Nov-18,"I was very curious to try these seaweed snacks. I thought maybe it could be a healthy go to snack. I was wrong. These things taste like your eating dried up fish skin. If you like sushi, you might like these, the taste is similar to the wrap of a sushi roll. It makes a lot of crumbs and just did not impress me."
2,Organic Seaweed Snacks Review,"Lita N.,",09-Dec-18,"I've tried this product before in a different flavor (Sriracha), this time I tried Sea Salt (it was the only flavor in stock at my local grocery and I'm starting to see why) and I have to say that the flavor that I just tried wasn't exactly great in my opinion. Sure, one should be expecting much from a flavor like Sea Salt when it applies to something like sea weed, but this was by far the saltiest sea weed I've ever tried! I drank over half a bottle of water and still felt parched! I don't recommend eating this on its own. Adding it to ramen or maybe some kind of rice bowl is fine, but if you try to eat it on its own, expect to be chugging down to get the saltiness out of your mouth. The sea weed is very pronounced and is constantly at odds with the equally powerful sea salt flavor. Try it if you dare."
2,Organic Seaweed Snacks Review,"Jami S.,",04-Jan-19,"I am on the fence on Ocean Halo Seaweed Snacks. I got the Sea Salt, and it wasn't what I expected. It tasted better than I thought it would, but it still wasn't something I would eat as a snack everyday. Maybe some of the other flavors would be more flavorful than the Sea Salt. It is a healthy alternative to other snacks, and if I go on a diet I might pick these over an unhealthy snack. Until then, I will keep my current snack."
1,Organic Seaweed Snacks Review,"Amanda A.,",26-Oct-18,"I didn't like it at all. The seaweed tasted too fishy. As my sister said, "" it tastes like those fish food flakes I would sneak eat when I was a kid."" I couldn't even finish one of the chips. I don't like seafood though, so that may have been a factor in my displeasure."
2,Organic Seaweed Snacks Review,"Vic W.,",18-Nov-18,"My daughter, husband,8year old granddaughter and I sat down while watching football to try the bacon and sea salt flavored seaweed chips. We liked the thin, crunchy texture and the fact that they were low-cal and good for you( you hear so much about the benefits of seaweed). We were expecting salty...like the ocean...,but we couldn't get past the fishy taste. The bacon ones were a bit better but after two or three everyone was overwhelmed by the fish taste. None of us would try them again even though we loved the health benefits and the light crunchiness."
1,Organic Seaweed Snacks Review,"Kathryn M.,",12-Feb-19,They weren't bad per say just not my thing. My sister loved them. Of course she is the weird that always raw seaweed. It just wasn't my thing. I would definently suggest trying it if your curious. From my family's reactions it was either a gimme gimme more or No thank you. It's worth a shot.
2,Organic Seaweed Snacks Review,"MegHan M.,",07-Dec-18,"the G.I. Joe and i tried some snacks. very well packaged for lunches. i thought the taste was meh. the G.I. Joe said ""i expected it to taste like the ones ive had from korea?, with a little more flavor and crunch."" i would have liked to try another flavor but this was the only one carried at my store"
1,Organic Seaweed Snacks Review,"Karen S.,",05-Dec-18,"The taste was too fishy for my liking. The store didn't have any other flavor than sea salt. Consistency was flaky but not much to crunch, I'd prefer a chip or cracker as a snack. Also seemed like excessive packaging for a single serving. Would not buy again"
1,Organic Seaweed Snacks Review,"Janette C.,",06-Dec-18,"These snacks weren't for me. The packaging is attractive and I was excited to #TryNatural, I just don't think I'm a seaweed snack kind of gal. I enjoy the @OceansHalo brand and will continue to purchase their broths and noodles! #GotItFree Thanks @SocialNature"
2,Organic Seaweed Snacks Review,"Shaniqua W.,",22-Dec-18,I think that this product is probably one of the healthiest and best options for my diet right now but I could not get past the taste. I usually dont dabble in areas I'm not extremely familiar with but it was worth the try. I'll need to try a different recipe next time then maybe things will be better.
2,Organic Seaweed Snacks Review,"Rita V.,",12-Dec-18,Not for me. I do not like the taste or texture at all. Not for me. I do not like the taste or texture at all. Not for me. I do not like the taste or texture at all.
1,Organic Seaweed Snacks Review,"Trudie S.,",25-Feb-19,This product was really bad. I did not like the taste at all. It taste so bad I would never try another. This was not a good snack for anyone in my family
2,Organic Seaweed Snacks Review,"Ashley G.,",25-Oct-18,"Im not a fan of seaweed. Although, I did try it. I'm still not a fan! But, that doesn't mean someone elae won't like it! #gotitforfree #worthatry @socialnature"
2,Organic Seaweed Snacks Review,"Pat C.,",05-Nov-18,Delicious snack! I had the seaweed snacks in different flavors. I am quite a fan. They tasted good and are pretty healthy. My new go to for seaweed snacks.
1,Organic Seaweed Snacks Review,"Sally G.,",30-Nov-18,"I thought this was the most disgusting snack I've ever had. I've had seaweed snacks before that I really enjoyed, but this had the fishiest taste that I couldn't even finish one. I will never get these again."
1,Organic Seaweed Snacks Review,"Kalee W.,",25-Jan-19,This was something not for me. I am usually not a fan of oriental foods. I thought I may like it but just didn't. I will just stick to the regular maruchen ramen noodles for now.
1,Organic Seaweed Snacks Review,"Corina S.,",11-Mar-19,"I did not enjoy this product. The flavor was very salty and fishy, and the texture was dry. Price for the product was high as well. Overall it was not something I would buy again."
1,Organic Seaweed Snacks Review,"Alice K.,",27-Feb-19,"I thought this organises weed wasn't not good , it tastes like fried green grass my kids didn't like it my friends didn't like it so sorry about this product had no taste"
1,Organic Seaweed Snacks Review,"April O.,",02-Feb-19,My daughter and I love bacon but so we was excited to get to try Ocean's Halo bacon flavored seaweed snacks. We did not like them at all. In fact we thought it tasted pretty horrible.
1,Organic Seaweed Snacks Review,"Jennifer S.,",29-Nov-18,These were not for me. I did not like the taste and I did not like the texture. I had my husband and kids try it as well and they also did not like it.
1,Organic Seaweed Snacks Review,"Sonya A.,",05-Dec-18,"It was gross, I tried the ramen, so sad! I was looking foryto it but it was more like spaghetti noodles with some weird broth! Yuck! I would not recommend them."
1,Organic Seaweed Snacks Review,"Taryn P.,",11-Mar-19,I was not a fan flavor or texture - was very hard to find in store. Tried the Sea Salt and it just wasn't a great experience. Too much hassle for something I wouldn't buy again.
